#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
126,Channel Islands,558,,45,,508,5,,"3,213",259,"5,342","30,757","173,685",Europe
127,Jamaica,529,+9,9,,171,349,,179,3,"9,021","3,048","2,959,765",North America
128,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,527,001",Africa
129,South Sudan,481,+191,4,,4,473,,43,0.4,"3,356",300,"11,178,970",Africa
130,Congo,469,+49,16,+1,137,316,,85,3,,,"5,501,846",Africa
131,Nepal,457,+30,3,+1,49,405,1,16,0.1,"117,431","4,039","29,076,092",Asia
132,Réunion,449,+2,1,,411,37,2,502,1,"17,200","19,226","894,609",Africa
133,Taiwan,441,+1,7,,407,27,,19,0.3,"70,338","2,954","23,812,157",Asia
134,CAR,436,+18,,,18,418,,90,,"11,294","2,343","4,820,066",Africa
135,Palestine,423,+25,2,,346,75,,83,0.4,"44,876","8,821","5,087,326",Asia
136,Madagascar,405,+34,2,,131,272,1,15,0.07,"5,670",205,"27,605,453",Africa
137,Ethiopia,399,+10,5,,123,271,,3,0.04,"69,519",607,"114,622,829",Africa
138,Cabo Verde,356,+7,3,,95,258,,641,5,892,"1,606","555,311",Africa
139,Togo,354,+14,12,,118,224,,43,1,"14,767","1,789","8,255,653",Africa
140,Isle of Man,336,,24,,303,9,2,"3,954",282,"4,353","51,221","84,984",Europe
141,Mauritius,332,,10,,322,0,,261,8,"98,075","77,131","1,271,542",Africa
142,Montenegro,324,,9,,314,1,2,516,14,"10,167","16,188","628,058",Europe
143,Vietnam,324,,,,264,60,2,3,,"275,000","2,828","97,241,403",Asia
144,Rwanda,320,+6,,,217,103,,25,,"54,400","4,213","12,913,795",Africa
145,Nicaragua,279,+25,17,,199,63,,42,3,,,"6,615,686",North America
146,Sao Tome and Principe,251,,8,,4,239,,"1,148",37,175,800,"218,686",Africa
147,French Guiana,249,+12,1,,137,111,,836,3,,,"297,751",South America
148,Liberia,240,+2,23,,131,86,,48,5,,,"5,043,542",Africa
149,Eswatini,220,+3,2,,112,106,,190,2,"4,994","4,310","1,158,822",Africa
150,Myanmar,199,,6,,108,85,,4,0.1,"16,550",304,"54,369,777",Asia
151,Yemen,197,+13,33,+3,5,159,,7,1,120,4,"29,748,378",Asia
152,Martinique,192,,14,,91,87,,512,37,,,"375,296",North America
153,Faeroe Islands,187,,,,187,0,,"3,829",,"9,084","185,984","48,843",Europe
154,Mauritania,173,+32,5,+1,7,161,,37,1,"2,583",557,"4,634,928",Africa
155,Mozambique,162,+6,,,48,114,,5,,"7,063",227,"31,149,023",Africa
156,Uganda,160,,,,66,94,,4,,"78,953","1,733","45,562,477",Africa
157,Guadeloupe,155,,13,,109,33,3,387,32,"2,866","7,163","400,117",North America
158,Gibraltar,151,+2,,,146,5,,"4,482",,"5,833","173,127","33,692",Europe
159,Brunei,141,,1,,136,4,2,323,2,"18,010","41,212","437,013",Asia
160,Mongolia,140,,,,26,114,27,43,,"11,750","3,591","3,272,228",Asia
161,Benin,135,+5,3,+1,61,71,,11,0.2,"26,792","2,217","12,084,945",Africa
162,Guyana,127,+2,10,,57,60,3,162,13,"1,329","1,691","786,139",South America
163,Bermuda,125,,9,,80,36,2,"2,006",144,"5,784","92,838","62,302",North America
164,Cambodia,123,+1,,,122,1,,7,,"15,572",933,"16,692,685",Asia
165,Cayman Islands,121,+10,1,,55,65,,"1,844",15,"7,959","121,262","65,635",North America
166,Trinidad and Tobago,116,,8,,107,1,,83,6,"2,805","2,005","1,398,999",North America
167,Aruba,101,,3,,95,3,4,946,28,"2,048","19,191","106,717",North America
168,Bahamas,97,,11,,44,42,1,247,28,"1,910","4,862","392,826",North America
169,Monaco,97,,4,,90,3,1,"2,474",102,,,"39,211",Europe
170,Barbados,90,,7,,70,13,4,313,24,"4,438","15,445","287,337",North America
171,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,612","38,116",Europe
172,Sint Maarten,77,,15,,54,8,7,"1,798",350,425,"9,925","42,821",North America
173,Malawi,72,+1,3,,27,42,1,4,0.2,"1,803",95,"19,070,499",Africa
174,Libya,71,+2,3,,35,33,,10,0.4,"4,351",634,"6,860,692",Africa
175,French Polynesia,60,,,,60,0,,214,,"3,686","13,130","280,731",Australia/Oceania
176,Angola,58,+6,3,,17,38,,2,0.09,"6,136",187,"32,740,203",Africa
177,Syria,58,,3,,36,19,,3,0.2,,,"17,449,901",Asia
178,Zimbabwe,51,+3,4,,18,29,,3,0.3,"28,019","1,888","14,838,265",Africa
179,Macao,45,,,,45,0,,69,,,,"648,331",Asia
180,Burundi,42,,1,,20,21,,4,0.08,284,24,"11,847,387",Africa
181,Saint Martin,40,,3,,33,4,1,"1,037",78,,,"38,590",North America
